,MESH_ID,PTN_2015
97,513870971,4.9345
98,513870972,40.7723
99,513870974,57.8038
100,513870982,150.6477
101,513870984,46.8868
102,513870991,75.7435
103,513870992,25.9463
104,513870993,147.6248
105,513870994,29.8908
106,513871173,61.8502
107,513871174,395.8223
108,513871183,339.1989
109,513871243,13.9718
110,513871244,5.9605
111,513871252,4.9854
112,513871253,33.8892
113,513871254,69.8308
114,513871261,140.7273
115,513871262,358.9228
116,513871263,414.8097
117,513871264,655.0832
118,513871271,627.5474
119,513871272,610.9642
120,513871273,471.6978
121,513871274,107.7605
122,513871281,334.1125
123,513871282,17.0355
124,513871332,86.7398
125,513871333,7.9804
126,513871334,112.7079
127,513871342,155.6429
128,513871343,357.9619
129,513871344,422.8461
130,513871351,475.5735
131,513871352,308.2449
132,513871353,118.7315
133,513871354,73.8117
134,513871361,538.624
135,513871362,652.2084
136,513871363,623.9228
137,513871364,277.2857
138,513871371,155.7655
139,513871422,3.9805
140,513871423,65.1114
141,513871424,215.6109
142,513871431,86.799
143,513871432,218.439
144,513871433,208.627
145,513871434,56.9086
146,513871441,140.5207
147,513871442,47.7786
148,513871443,22.8861
149,513871444,39.8565
150,513871451,12.9374
151,513871452,40.928
152,513871453,29.0335
153,513871454,347.191
154,513871461,267.4678
155,513871463,256.1484
156,513871503,23.9089
157,513871504,23.9383
158,513871512,58.1322
159,513871513,9.9975
160,513871514,208.1185
161,513871521,341.158
162,513871522,180.6034
163,513871523,562.3961
164,513871524,552.6446
165,513871531,209.4546
166,513871532,90.0352
167,513871533,380.1821
168,513871534,145.2078
169,513871541,225.1207
170,513871542,216.428
171,513871543,13.067
172,513871544,155.0254
173,513871551,17.0657
174,513871552,156.1463
175,513871553,250.0156
176,513871554,405.085
177,513871561,191.238
178,513871563,9.0258
179,513871601,211.537
180,513871602,221.7369
181,513871603,663.6656
182,513871604,752.3036
183,513871611,412.322
184,513871612,229.5696
185,513871613,224.6791
186,513871614,99.9703
187,513871621,295.3658
188,513871622,315.1862
189,513871623,89.7119
190,513871624,117.5853
191,513871631,130.6973
192,513871633,63.8537
193,513871634,81.0246
194,513871641,6.9895
195,513871642,26.0688
196,513871643,37.0098
197,513871651,549.4106
198,513871652,196.9796
199,513871653,243.0835
200,513871701,925.0624
201,513871702,657.8252
202,513871703,751.0992
203,513871704,712.2921
204,513871711,154.6946
205,513871713,117.8459
206,513871714,1.9916
207,513871721,9.952
208,513871722,26.8735
209,513871723,39.918
210,513871724,38.8503
211,513871731,113.6488
212,513871732,95.9059
213,513871733,134.6446
214,513871734,1.9916
215,513871741,6.9826
216,513871742,3.0229
217,513871751,175.2056
218,513871753,43.0162
219,513871801,475.6766
220,513871802,164.6552
221,513871803,45.6465
222,513871804,9.9634
223,513871812,15.9781
224,513871813,14.958
225,513871814,16.9927
226,513871821,49.7914
227,513871822,88.7943
